A00	Cholera
A01	Typhoid and paratyphoid fevers
A02	Other salmonella infections
A03	Shigellosis
A04	Other bacterial intestinal infections
A05	Other bacterial foodborne intoxications, not elsewhere classified
A06	Amoebiasis
A07	Other protozoal intestinal diseases
A08	Viral and other specified intestinal infections
A09	Other gastroenteritis and colitis of infectious and unspecified origin
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A17	Tuberculosis of nervous system
A18	Tuberculosis of other organs
A19	Miliary tuberculosis
A20	Plague
A21	Tularaemia
A22	Anthrax
A23	Brucellosis
A24	Glanders and melioidosis
A25	Rat-bite fevers
A26	Erysipeloid
A27	Leptospirosis
A28	Other zoonotic bacterial diseases, not elsewhere classified
A30	Leprosy [Hansen's disease]
A31	Infection due to other mycobacteria
A32	Listeriosis
A33	Tetanus neonatorum
A34	Obstetrical tetanus
A35	Other tetanus
A36	Diphtheria
A37	Whooping cough
A38	Scarlet fever
A39	Meningococcal infection
A40	Streptococcal sepsis
A41	Other sepsis
A42	Actinomycosis
A43	Nocardiosis
A44	Bartonellosis
A46	Erysipelas
A48	Other bacterial diseases, not elsewhere classified
A49	Bacterial infection of unspecified site
A50	Congenital syphilis
A51	Early syphilis
A52	Late syphilis
A53	Other and unspecified syphilis
A54	Gonococcal infection
A55	Chlamydial lymphogranuloma (venereum)
A56	Other sexually transmitted chlamydial diseases
A57	Chancroid
A58	Granuloma inguinale
A59	Trichomoniasis
A60	Anogenital herpesviral [herpes simplex] infection
A63	Other predominantly sexually transmitted diseases, not elsewhere classified
A64	Unspecified sexually transmitted disease
A65	Nonvenereal syphilis
A66	Yaws
A67	Pinta [carate]
A68	Relapsing fevers
A69	Other spirochaetal infections
A70	Chlamydia psittaci infection
A71	Trachoma
A74	Other diseases caused by chlamydiae
A75	Typhus fever
A77	Spotted fever [tick-borne rickettsioses]
A78	Q fever
A79	Other rickettsioses
A80	Acute poliomyelitis
A81	Atypical virus infections of central nervous system
A82	Rabies
A83	Mosquito-borne viral encephalitis
A84	Tick-borne viral encephalitis
A85	Other viral encephalitis, not elsewhere classified
A86	Unspecified viral encephalitis
A87	Viral meningitis
A88	Other viral infections of central nervous system, not elsewhere classified
A89	Unspecified viral infection of central nervous system
A90	Dengue fever [classical dengue]
A91	Dengue haemorrhagic fever
A92	Other mosquito-borne viral fevers
A93	Other arthropod-borne viral fevers, not elsewhere classified
A94	Unspecified arthropod-borne viral fever
A95	Yellow fever
A96	Arenaviral haemorrhagic fever
A98	Other viral haemorrhagic fevers, not elsewhere classified
A99	Unspecified viral haemorrhagic fever
B00	Herpesviral [herpes simplex] infections
B01	Varicella [chickenpox]
B02	Zoster [herpes zoster]
B03	Smallpox
B04	Monkeypox
B05	Measles
B06	Rubella [German measles]
B07	Viral warts
B08	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B09	Unspecified viral infection characterized by skin and mucous membrane lesions
B15	Acute hepatitis A
B16	Acute hepatitis B
B17	Other acute viral hepatitis
B18	Chronic viral hepatitis
B19	Unspecified viral hepatitis
B20	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21	Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22	Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23	Human immunodeficiency virus [HIV] disease resulting in other conditions
B24	Unspecified human immunodeficiency virus [HIV] disease
B25	Cytomegaloviral disease
B26	Mumps
B27	Infectious mononucleosis
B30	Viral conjunctivitis
B33	Other viral diseases, not elsewhere classified
B34	Viral infection of unspecified site
B35	Dermatophytosis
B36	Other superficial mycoses
B37	Candidiasis
B38	Coccidioidomycosis
B39	Histoplasmosis
B40	Blastomycosis
B41	Paracoccidioidomycosis
B42	Sporotrichosis
B43	Chromomycosis and phaeomycotic abscess
B44	Aspergillosis
B45	Cryptococcosis
B46	Zygomycosis
B47	Mycetoma
B48	Other mycoses, not elsewhere classified
B49	Unspecified mycosis
B50	Plasmodium falciparum malaria
B51	Plasmodium vivax malaria
B52	Plasmodium malariae malaria
B53	Other parasitologically confirmed malaria
B54	Unspecified malaria
B55	Leishmaniasis
B56	African trypanosomiasis
B57	Chagas' disease
B58	Toxoplasmosis
B59	Pneumocystosis
B60	Other protozoal diseases, not elsewhere classified
B64	Unspecified protozoal disease
B65	Schistosomiasis [bilharziasis]
B66	Other fluke infections
B67	Echinococcosis
B68	Taeniasis
B69	Cysticercosis
B70	Diphyllobothriasis and sparganosis
B71	Other cestode infections
B72	Dracunculiasis
B73	Onchocerciasis
B74	Filariasis
B75	Trichinellosis
B76	Hookworm diseases
B77	Ascariasis
B78	Strongyloidiasis
B79	Trichuriasis
B80	Enterobiasis
B81	Other intestinal helminthiases, not elsewhere classified
B82	Unspecified intestinal parasitism
B83	Other helminthiases
B85	Pediculosis and phthiriasis
B86	Scabies
B87	Myiasis
B88	Other infestations
B89	Unspecified parasitic disease
B90	Sequelae of tuberculosis
B91	Sequelae of poliomyelitis
B92	Sequelae of leprosy
B94	Sequelae of other and unspecified infectious and parasitic diseases
B95	Streptococcus and staphylococcus as the cause of diseases classified to other chapters
B96	Other specified bacterial agents as the cause of diseases classified to other chapters
B97	Viral agents as the cause of diseases classified to other chapters
B98	Other specified infectious agents as the cause of diseases classified to other chapters
B99	Other and unspecified infectious diseases
C00	Malignant neoplasm of lip
C01	Malignant neoplasm of base of tongue
C02	Malignant neoplasm of other and unspecified parts of tongue
C03	Malignant neoplasm of gum
C04	Malignant neoplasm of floor of mouth
C05	Malignant neoplasm of palate
C06	Malignant neoplasm of other and unspecified parts of mouth
C07	Malignant neoplasm of parotid gland
C08	Malignant neoplasm of other and unspecified major salivary glands
C09	Malignant neoplasm of tonsil
C10	Malignant neoplasm of oropharynx
C11	Malignant neoplasm of nasopharynx
C12	Malignant neoplasm of piriform sinus
C13	Malignant neoplasm of hypopharynx
C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx
C15	Malignant neoplasm of oesophagus
C16	Malignant neoplasm of stomach
C17	Malignant neoplasm of small intestine
C18	Malignant neoplasm of colon
C19	Malignant neoplasm of rectosigmoid junction
C20	Malignant neoplasm of rectum
C21	Malignant neoplasm of anus and anal canal
C22	Malignant neoplasm of liver and intrahepatic bile ducts
C23	Malignant neoplasm of gallbladder
C24	Malignant neoplasm of other and unspecified parts of biliary tract
C25	Malignant neoplasm of pancreas
C26	Malignant neoplasm of other and ill-defined digestive organs
C30	Malignant neoplasm of nasal cavity and middle ear
C31	Malignant neoplasm of accessory sinuses
C32	Malignant neoplasm of larynx
C33	Malignant neoplasm of trachea
C34	Malignant neoplasm of bronchus and lung
C37	Malignant neoplasm of thymus
C38	Malignant neoplasm of heart, mediastinum and pleura
C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40	Malignant neoplasm of bone and articular cartilage of limbs
C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43	Malignant melanoma of skin
C44	Other malignant neoplasms of skin
C45	Mesothelioma
C46	Kaposi sarcoma
C47	Malignant neoplasm of peripheral nerves and autonomic nervous system
C48	Malignant neoplasm of retroperitoneum and peritoneum
C49	Malignant neoplasm of other connective and soft tissue
C50	Malignant neoplasm of breast
C51	Malignant neoplasm of vulva
C52	Malignant neoplasm of vagina
C53	Malignant neoplasm of cervix uteri
C54	Malignant neoplasm of corpus uteri
C55	Malignant neoplasm of uterus, part unspecified
C56	Malignant neoplasm of ovary
C57	Malignant neoplasm of other and unspecified female genital organs
C58	Malignant neoplasm of placenta
C60	Malignant neoplasm of penis
C61	Malignant neoplasm of prostate
C62	Malignant neoplasm of testis
C63	Malignant neoplasm of other and unspecified male genital organs
C64	Malignant neoplasm of kidney, except renal pelvis
C65	Malignant neoplasm of renal pelvis
C66	Malignant neoplasm of ureter
C67	Malignant neoplasm of bladder
C68	Malignant neoplasm of other and unspecified urinary organs
C69	Malignant neoplasm of eye and adnexa
C70	Malignant neoplasm of meninges
C71	Malignant neoplasm of brain
C72	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system
C73	Malignant neoplasm of thyroid gland
C74	Malignant neoplasm of adrenal gland
C75	Malignant neoplasm of other endocrine glands and related structures
C76	Malignant neoplasm of other and ill-defined sites
C77	Secondary and unspecified malignant neoplasm of lymph nodes
C78	Secondary malignant neoplasm of respiratory and digestive organs
C79	Secondary malignant neoplasm of other and unspecified sites
C80	Malignant neoplasm without specification of site
C81	Hodgkin lymphoma
C82	Follicular lymphoma
C83	Non-follicular lymphoma
C84	Mature T/NK-cell lymphomas
C85	Other and unspecified types of non-Hodgkin lymphoma
C86	Other specified types of T/NK-cell lymphoma
C88	Malignant immunoproliferative diseases
C90	Multiple myeloma and malignant plasma cell neoplasms
C91	Lymphoid leukaemia
C92	Myeloid leukaemia
C93	Monocytic leukaemia
C94	Other leukaemias of specified cell type
C95	Leukaemia of unspecified cell type
C96	Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue
C97	Malignant neoplasms of independent (primary) multiple sites
D00	Carcinoma in situ of oral cavity, oesophagus and stomach
D01	Carcinoma in situ of other and unspecified digestive organs
D02	Carcinoma in situ of middle ear and respiratory system
D03	Melanoma in situ
D04	Carcinoma in situ of skin
D05	Carcinoma in situ of breast
D06	Carcinoma in situ of cervix uteri
D07	Carcinoma in situ of other and unspecified genital organs
D09	Carcinoma in situ of other and unspecified sites
D10	Benign neoplasm of mouth and pharynx
D11	Benign neoplasm of major salivary glands
D12	Benign neoplasm of colon, rectum, anus and anal canal
D13	Benign neoplasm of other and ill-defined parts of digestive system
D14	Benign neoplasm of middle ear and respiratory system
D15	Benign neoplasm of other and unspecified intrathoracic organs
D16	Benign neoplasm of bone and articular cartilage
D17	Benign lipomatous neoplasm
D18	Haemangioma and lymphangioma, any site
D19	Benign neoplasm of mesothelial tissue
D20	Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21	Other benign neoplasms of connective and other soft tissue
D22	Melanocytic naevi
D23	Other benign neoplasms of skin
